FirstName,LastName,Email
sweety,satasiya,sweetysatasiya1610@gmail.com
swami,harikrishna,sweetysatasiya1610@gmail.com
dhruvil,satasiya,sweetysatasiya1610@gmail.com
harsh,bbb,sweetysatasiya1610@gmail.com
harshu,jadeja,sweetysatasiya1610@gmail.com
rekha,satasiya,sweetysatasiya1610@gmail.com
dhruvv,satasiya,sweetysatasiya1610@gmail.com
grishu,chodvadiya,sweetysatasiya1610@gmail.com
harmin,chodvadiya,sweetysatasiya1610@gmail.com
harshvardhan,jadeja,sweetysatasiya1610@gmail.com
dev,vashi,sweetysatasiya1610@gmail.com
